sysmsg,sysmsg_permutation,code,code_with_name,usermsg,answer,tokens_in,tokens_out,correct_codes,hits,wrong_hits,usermsg_rag,answer_rag,tokens_in_rag,tokens_out_rag,hits_rag,wrong_hits_rag
"You are a helpful assistant.
Your answer should be consise.
Your answer should only contain the relevant regions' NUTS-codes. Nothing else.","intro,consise,only_codes",LT022,"LT022, Kauno apskritis",Give me all nuts regions that share a border with the region LT022 and have the same NUTS level,"LT011, LT012, LT013, LT014, LT015, LT021, LT023, LT024, LT025, LT031, LT032, LT033, LT034, LT041, LT042, LT043, LT044, LT051, LT052, LT053, LT054, LT061, LT062, LT063, LT064, LT071, LT072, LT073, LT074, LT081, LT082, LT083, LT084, LT091, LT092, LT093, LT094, LT101, LT102, LT103, LT104, LT111, LT112, LT113, LT114, LT121, LT122, LT123, LT124, LT131, LT132, LT133, LT134, LT141, LT142, LT143, LT144, LT145, LT146, LT147, LT148, LT151, LT152, LT153, LT154, LT155, LT156, LT157, LT158, LT159, LT160, LT161, LT162, LT163, LT164, LT165, LT166, LT167, LT168, LT169, LT170, LT171, LT172, LT173, LT174, LT175, LT176, LT177, LT178, LT179, LT180, LT181, LT182, LT183, LT184, LT185, LT186, LT187, LT188, LT189,",64,300,"['LT011', 'LT021', 'LT024', 'LT025', 'LT026', 'LT027']","['LT023', 'LT011', 'LT021', 'LT025', 'LT024']","['LT101', 'LT111', 'LT133', 'LT172', 'LT146', 'LT072', 'LT104', 'LT132', 'LT181', 'LT051', 'LT015', 'LT071', 'LT123', 'LT041', 'LT162', 'LT166', 'LT113', 'LT179', 'LT155', 'LT081', 'LT053', 'LT183', 'LT124', 'LT141', 'LT033', 'LT094', 'LT168', 'LT043', 'LT052', 'LT082', 'LT169', 'LT144', 'LT184', 'LT091', 'LT044', 'LT145', 'LT176', 'LT177', 'LT159', 'LT148', 'LT042', 'LT014', 'LT114', 'LT121', 'LT158', 'LT102', 'LT142', 'LT013', 'LT031', 'LT163', 'LT092', 'LT032', 'LT180', 'LT167', 'LT103', 'LT187', 'LT061', 'LT134', 'LT153', 'LT084', 'LT064', 'LT093', 'LT156', 'LT034', 'LT188', 'LT062', 'LT165', 'LT083', 'LT157', 'LT186', 'LT170', 'LT171', 'LT151', 'LT154', 'LT152', 'LT164', 'LT147', 'LT112', 'LT182', 'LT073', 'LT185', 'LT189', 'LT143', 'LT012', 'LT161', 'LT174', 'LT178', 'LT054', 'LT131', 'LT074', 'LT122', 'LT160', 'LT175', 'LT173', 'LT063']","The user asked the following question:

Give me all NUTS regions that share a border with the region LT022.
    
This is the answer retrieved from a Graph-database:
['LT011', 'LT021', 'LT024', 'LT025', 'LT026', 'LT027']
    
    ","The NUTS regions that share a border with region LT022 are: LT011, LT021, LT024, LT025, LT026, LT027.",120,33,"['LT011', 'LT026', 'LT021', 'LT025', 'LT027', 'LT024']",[]
"You are a helpful assistant.
Your answer should be consise.
Your answer should only contain the relevant regions' NUTS-codes. Nothing else.","intro,consise,only_codes",SE331,"SE331, Västerbottens län",Give me all nuts regions that share a border with the region SE331 and have the same NUTS level,"SE32, SE33, SE34, SE35.",64,12,"['SE321', 'SE322', 'SE332']","['SE32', 'SE33']","['SE34', 'SE35']","The user asked the following question:

Give me all NUTS regions that share a border with the region SE331.
    
This is the answer retrieved from a Graph-database:
['SE321', 'SE322', 'SE332']
    
    ","The NUTS regions that share a border with SE331 are SE321, SE322, and SE332.",108,23,"['SE322', 'SE321', 'SE332']",[]
"You are a helpful assistant.
Your answer should be consise.
Your answer should only contain the relevant regions' NUTS-codes. Nothing else.","intro,consise,only_codes",IE051,"IE051, Mid-West",Give me all nuts regions that share a border with the region IE051 and have the same NUTS level,"IE041, IE042, IE052, IE053, IE061, IE062",64,17,"['IE052', 'IE053', 'IE042', 'IE063']","['IE042', 'IE053', 'IE041', 'IE061', 'IE062', 'IE052']",[],"The user asked the following question:

Give me all NUTS regions that share a border with the region IE051.
    
This is the answer retrieved from a Graph-database:
['IE052', 'IE053', 'IE042', 'IE063']
    
    ","The NUTS regions that share a border with region IE051 are IE052, IE053, IE042, and IE063.",112,27,"['IE053', 'IE063', 'IE042', 'IE052']",[]
"You are a helpful assistant.
Your answer should be consise.
Your answer should only contain the relevant regions' NUTS-codes. Nothing else.","intro,consise,only_codes",ES615,"ES615, Huelva",Give me all nuts regions that share a border with the region ES615 and have the same NUTS level,"ES611, ES612, ES614, ES616.",64,12,"['PT150', 'ES431', 'ES612', 'ES618', 'PT184']","['ES614', 'ES612', 'ES611', 'ES616']",[],"The user asked the following question:

Give me all NUTS regions that share a border with the region ES615.
    
This is the answer retrieved from a Graph-database:
['PT150', 'ES431', 'ES612', 'ES618', 'PT184']
    
    ","The NUTS regions that share a border with the region ES615 are: PT150, ES431, ES612, ES618, PT184.",116,31,"['ES618', 'ES431', 'PT150', 'ES612', 'PT184']",[]
"You are a helpful assistant.
Your answer should be consise.
Your answer should only contain the relevant regions' NUTS-codes. Nothing else.","intro,consise,only_codes",FRK21,"FRK21, Ain",Give me all nuts regions that share a border with the region FRK21 and have the same NUTS level,"FRK22, FRK23, FRK24, FRK25, FRK26, FRK27, FRK28, FRK29",65,31,"['FRK24', 'FRK26', 'FRK27', 'FRK28', 'FRC13', 'FRC22']","['FRK25', 'FRK26', 'FRK24', 'FRK23', 'FRK28', 'FRK22', 'FRK27']",['FRK29'],"The user asked the following question:

Give me all NUTS regions that share a border with the region FRK21.
    
This is the answer retrieved from a Graph-database:
['FRK24', 'FRK26', 'FRK27', 'FRK28', 'FRC13', 'FRC22']
    
    ","The NUTS regions that share a border with FRK21 are FRK24, FRK26, FRK27, FRK28, FRC13, and FRC22.",127,39,"['FRC22', 'FRC13', 'FRK24', 'FRK28', 'FRK26', 'FRK27']",[]
"You are a helpful assistant that specializes in the European NUTS regions.
Your answer should be consise.","intro,details,consise",CZ,"CZ, ČESKÁ REPUBLIKA",Give me all nuts regions that share a border with the region CZ and have the same NUTS level,"The NUTS regions that share a border with CZ at the same NUTS level are:
- DE - Germany
- AT - Austria
- SK - Slovakia",54,34,"['DE', 'PL', 'AT', 'SK']","['SK', 'AT', 'DE']",[],"The user asked the following question:

Give me all NUTS regions that share a border with the region CZ.
    
This is the answer retrieved from a Graph-database:
['DE', 'PL', 'AT', 'SK']
    
    ","The NUTS regions that share a border with the region CZ are: DE, PL, AT, SK.",107,23,"['SK', 'PL', 'AT', 'DE']",[]
"You are a helpful assistant that specializes in the European NUTS regions.
Your answer should be consise.","intro,details,consise",BG,"BG, Bulgaria",Give me all nuts regions that share a border with the region BG and have the same NUTS level,"The NUTS regions that share a border with BG (Bulgaria) at the same NUTS level are:
- NUTS 2: TR (Turkey), GR (Greece), RS (Serbia), MK (North Macedonia), RO (Romania)",54,56,"['RO', 'EL']","['MK', 'RO', 'RS', 'TR']",['GR'],"The user asked the following question:

Give me all NUTS regions that share a border with the region BG.
    
This is the answer retrieved from a Graph-database:
['RO', 'EL']
    
    ",The NUTS regions that share a border with the region BG are 'RO' and 'EL'.,101,21,"['RO', 'EL']",[]
"You are a helpful assistant that specializes in the European NUTS regions.
Your answer should be consise.","intro,details,consise",FR1,"FR1, ÎLE DE FRANCE",Give me all nuts regions that share a border with the region FR1 and have the same NUTS level,"The NUTS regions that share a border with FR1 at the same NUTS level are FRB, FRC, and FRD.",55,30,"['FRB', 'FRC', 'FRD', 'FRE', 'FRF']","['FRB', 'FRD', 'FRC']",[],"The user asked the following question:

Give me all NUTS regions that share a border with the region FR1.
    
This is the answer retrieved from a Graph-database:
['FRB', 'FRC', 'FRD', 'FRE', 'FRF']
    
    ","The NUTS regions that share a border with the region FR1 are: FRB, FRC, FRD, FRE, FRF.",116,30,"['FRD', 'FRE', 'FRF', 'FRB', 'FRC']",[]
"You are a helpful assistant that specializes in the European NUTS regions.
Your answer should be consise.","intro,details,consise",DEG,"DEG, THÜRINGEN",Give me all nuts regions that share a border with the region DEG and have the same NUTS level,"The NUTS regions that share a border with DEG at the same NUTS level are:
- DEE (Germany)
- DEH (Germany)
- DEI (Germany)",55,39,"['DE2', 'DE7', 'DE9', 'DED', 'DEE']",['DEE'],"['DEH', 'DEI']","The user asked the following question:

Give me all NUTS regions that share a border with the region DEG.
    
This is the answer retrieved from a Graph-database:
['DE2', 'DE7', 'DE9', 'DED', 'DEE']
    
    ","The NUTS regions that share a border with the region DEG are DE2, DE7, DE9, DED, and DEE.",115,31,"['DE9', 'DED', 'DE7', 'DE2', 'DEE']",[]
"You are a helpful assistant that specializes in the European NUTS regions.
Your answer should be consise.","intro,details,consise",PL7,"PL7, Makroregion centralny",Give me all nuts regions that share a border with the region PL7 and have the same NUTS level,"The NUTS regions that share a border with PL7 at the same NUTS level are PL4, PL6, and PL8.",55,30,"['PL2', 'PL4', 'PL5', 'PL6', 'PL8', 'PL9']","['PL4', 'PL8', 'PL6']",[],"The user asked the following question:

Give me all NUTS regions that share a border with the region PL7.
    
This is the answer retrieved from a Graph-database:
['PL2', 'PL4', 'PL5', 'PL6', 'PL8', 'PL9']
    
    ",I don't know the answer to that question.,120,10,[],[]
"You are a helpful assistant that specializes in the European NUTS regions.
Your answer should be consise.","intro,details,consise",ITI,"ITI, Centro (IT)",Give me all nuts regions that share a border with the region ITI and have the same NUTS level,"The NUTS regions that share a border with ITI at the same NUTS level are:
- ITF (Trentino-Alto Adige/Südtirol)
- ITG (Veneto)
- ITD (Lombardia)",55,54,"['ITC', 'ITF', 'ITH']","['ITG', 'ITF']",['ITD'],"The user asked the following question:

Give me all NUTS regions that share a border with the region ITI.
    
This is the answer retrieved from a Graph-database:
['ITC', 'ITF', 'ITH']
    
    ","The NUTS regions that share a border with the region ITI are: ITC, ITF, ITH.",107,25,"['ITC', 'ITF', 'ITH']",[]
"You are a helpful assistant that specializes in the European NUTS regions.
Your answer should be consise.","intro,details,consise",PT18,"PT18, Alentejo",Give me all nuts regions that share a border with the region PT18 and have the same NUTS level,"The NUTS regions that share a border with PT18 at the same NUTS level are:
- ES11 (Norte)
- ES12 (Centro)
- ES13 (Lisboa)
- ES14 (Alentejo)",55,51,"['PT15', 'PT16', 'PT17', 'ES43', 'ES61']","['ES13', 'ES11', 'ES12']",['ES14'],"The user asked the following question:

Give me all NUTS regions that share a border with the region PT18.
    
This is the answer retrieved from a Graph-database:
['PT15', 'PT16', 'PT17', 'ES43', 'ES61']
    
    ","The NUTS regions that share a border with region PT18 are PT15, PT16, PT17, ES43, and ES61.",116,30,"['ES43', 'ES61', 'PT16', 'PT15', 'PT17']",[]
"You are a helpful assistant that specializes in the European NUTS regions.
Your answer should be consise.","intro,details,consise",FRK2,"FRK2, Rhône-Alpes",Give me all nuts regions that share a border with the region FRK2 and have the same NUTS level,"The NUTS regions that share a border with FRK2 at the same NUTS level are FRK1, FRK3, and FRK4.",56,34,"['ITC1', 'ITC2', 'FRL0', 'FRK1', 'FRC1', 'FRC2', 'FRJ1']",['FRK1'],"['FRK4', 'FRK3']","The user asked the following question:

Give me all NUTS regions that share a border with the region FRK2.
    
This is the answer retrieved from a Graph-database:
['ITC1', 'ITC2', 'FRL0', 'FRK1', 'FRC1', 'FRC2', 'FRJ1']
    
    ","The NUTS regions that share a border with the region FRK2 are: ITC1, ITC2, FRL0, FRK1, FRC1, FRC2, FRJ1.",132,45,"['FRC2', 'ITC1', 'FRJ1', 'FRK1', 'FRC1', 'FRL0', 'ITC2']",[]
"You are a helpful assistant that specializes in the European NUTS regions.
Your answer should be consise.","intro,details,consise",CZ03,"CZ03, Jihozápad",Give me all nuts regions that share a border with the region CZ03 and have the same NUTS level,"The NUTS regions that share a border with CZ03 at the same NUTS level are PL71, DE71, and AT31.",55,30,"['AT12', 'CZ02', 'CZ04', 'CZ06', 'AT31', 'DE22', 'DE23']","['DE71', 'PL71', 'AT31']",[],"The user asked the following question:

Give me all NUTS regions that share a border with the region CZ03.
    
This is the answer retrieved from a Graph-database:
['AT12', 'CZ02', 'CZ04', 'CZ06', 'AT31', 'DE22', 'DE23']
    
    ","The NUTS regions that share a border with the region CZ03 are: AT12, CZ02, CZ04, CZ06, AT31, DE22, DE23.",127,37,"['DE22', 'AT31', 'AT12', 'CZ02', 'DE23', 'CZ04', 'CZ06']",[]
"You are a helpful assistant that specializes in the European NUTS regions.
Your answer should be consise.","intro,details,consise",DEF0,"DEF0, Schleswig-Holstein",Give me all nuts regions that share a border with the region DEF0 and have the same NUTS level,"The NUTS regions that share a border with DEF0 at the same NUTS level are DEF1, DEF2, and DEF3.",55,30,"['DE93', 'DK03', 'DE60', 'DE80']",[],"['DEF3', 'DEF2', 'DEF1']","The user asked the following question:

Give me all NUTS regions that share a border with the region DEF0.
    
This is the answer retrieved from a Graph-database:
['DE93', 'DK03', 'DE60', 'DE80']
    
    ","The NUTS regions that share a border with the region DEF0 are DE93, DK03, DE60, and DE80.",112,28,"['DE60', 'DE80', 'DK03', 'DE93']",[]
"You are a helpful assistant that specializes in the European NUTS regions.
Your answer should be consise.","intro,details,consise",RO41,"RO41, Sud-Vest Oltenia",Give me all nuts regions that share a border with the region RO41 and have the same NUTS level,"The NUTS regions that share a border with RO41 at the same NUTS level are:
- RO42 (North-East)
- RO21 (South-East)
- RO32 (South)",55,41,"['RO12', 'RO31', 'RO42', 'BG31']","['RO21', 'RO42', 'RO32']",[],"The user asked the following question:

Give me all NUTS regions that share a border with the region RO41.
    
This is the answer retrieved from a Graph-database:
['RO12', 'RO31', 'RO42', 'BG31']
    
    ","The NUTS regions that share a border with region RO41 are: RO12, RO31, RO42, BG31.",112,27,"['RO31', 'RO12', 'RO42', 'BG31']",[]
"You are a helpful assistant that specializes in the European NUTS regions.
Your answer should be consise.","intro,details,consise",DEB3I,"DEB3I, Rhein-Pfalz-Kreis",Give me all nuts regions that share a border with the region DEB3I and have the same NUTS level,"The NUTS regions that share a border with DEB3I at the same NUTS level are DEB3H, DEB3J, and DEB3K.",57,38,"['DE123', 'DE715', 'DEB3C', 'DEB3E', 'DEB3H', 'DE126', 'DE128', 'DEB31', 'DEB34', 'DEB36', 'DEB38', 'DEB39']","['DEB3K', 'DEB3H', 'DEB3J']",[],"The user asked the following question:

Give me all NUTS regions that share a border with the region DEB3I.
    
This is the answer retrieved from a Graph-database:
['DE123', 'DE715', 'DEB3C', 'DEB3E', 'DEB3H', 'DE126', 'DE128', 'DEB31', 'DEB34', 'DEB36', 'DEB38', 'DEB39']
    
    ","The NUTS regions that share a border with the region DEB3I are: DE123, DE715, DEB3C, DEB3E, DEB3H, DE126, DE128, DEB31, DEB34, DEB36, DEB38, DEB39.",157,65,"['DEB3C', 'DEB38', 'DEB34', 'DEB36', 'DE123', 'DE128', 'DEB3E', 'DE126', 'DEB31', 'DEB3H', 'DEB39', 'DE715']",[]
"You are a helpful assistant that specializes in the European NUTS regions.
Your answer should be consise.","intro,details,consise",PL515,"PL515, Jeleniogórski",Give me all nuts regions that share a border with the region PL515 and have the same NUTS level,"The NUTS regions that share a border with PL515 at the same NUTS level are:
- PL514 (Podlaskie)
- PL516 (Warmińsko-Mazurskie)",55,44,"['PL516', 'PL517', 'PL518', 'DED2D', 'CZ051', 'CZ052', 'PL432']","['PL516', 'PL514']",[],"The user asked the following question:

Give me all NUTS regions that share a border with the region PL515.
    
This is the answer retrieved from a Graph-database:
['PL516', 'PL517', 'PL518', 'DED2D', 'CZ051', 'CZ052', 'PL432']
    
    ","The NUTS regions that share a border with region PL515 are: PL516, PL517, PL518, DED2D, CZ051, CZ052, PL432.",127,38,"['DED2D', 'PL432', 'PL516', 'PL518', 'CZ051', 'PL517', 'CZ052']",[]
"You are a helpful assistant that specializes in the European NUTS regions.
Your answer should be consise.","intro,details,consise",LT022,"LT022, Kauno apskritis",Give me all nuts regions that share a border with the region LT022 and have the same NUTS level,"The NUTS regions that share a border with LT022 at the same NUTS level are LT011, LT012, LT013, LT014, LT015, LT021, and LT023.",55,42,"['LT011', 'LT021', 'LT024', 'LT025', 'LT026', 'LT027']","['LT023', 'LT011', 'LT021']","['LT014', 'LT015', 'LT013', 'LT012']","The user asked the following question:

Give me all NUTS regions that share a border with the region LT022.
    
This is the answer retrieved from a Graph-database:
['LT011', 'LT021', 'LT024', 'LT025', 'LT026', 'LT027']
    
    ","The NUTS regions that share a border with region LT022 are: LT011, LT021, LT024, LT025, LT026, LT027.",120,33,"['LT011', 'LT026', 'LT021', 'LT025', 'LT027', 'LT024']",[]
"You are a helpful assistant that specializes in the European NUTS regions.
Your answer should be consise.","intro,details,consise",SE331,"SE331, Västerbottens län",Give me all nuts regions that share a border with the region SE331 and have the same NUTS level,The NUTS regions that share a border with SE331 at the same NUTS level are SE32 and SE33.,55,26,"['SE321', 'SE322', 'SE332']","['SE32', 'SE33']",[],"The user asked the following question:

Give me all NUTS regions that share a border with the region SE331.
    
This is the answer retrieved from a Graph-database:
['SE321', 'SE322', 'SE332']
    
    ","The NUTS regions that share a border with the region SE331 are SE321, SE322, and SE332.",108,25,"['SE322', 'SE321', 'SE332']",[]
"You are a helpful assistant that specializes in the European NUTS regions.
Your answer should be consise.","intro,details,consise",IE051,"IE051, Mid-West",Give me all nuts regions that share a border with the region IE051 and have the same NUTS level,"The NUTS regions that share a border with IE051 at the same NUTS level are IE052, IE053, and IE054.",55,30,"['IE052', 'IE053', 'IE042', 'IE063']","['IE053', 'IE052']",['IE054'],"The user asked the following question:

Give me all NUTS regions that share a border with the region IE051.
    
This is the answer retrieved from a Graph-database:
['IE052', 'IE053', 'IE042', 'IE063']
    
    ","The NUTS regions that share a border with region IE051 are IE052, IE053, IE042, and IE063.",112,27,"['IE053', 'IE063', 'IE042', 'IE052']",[]
"You are a helpful assistant that specializes in the European NUTS regions.
Your answer should be consise.","intro,details,consise",ES615,"ES615, Huelva",Give me all nuts regions that share a border with the region ES615 and have the same NUTS level,"The NUTS regions that share a border with ES615 at the same NUTS level are ES611, ES612, ES614, and ES616.",55,33,"['PT150', 'ES431', 'ES612', 'ES618', 'PT184']","['ES614', 'ES612', 'ES611', 'ES616']",[],"The user asked the following question:

Give me all NUTS regions that share a border with the region ES615.
    
This is the answer retrieved from a Graph-database:
['PT150', 'ES431', 'ES612', 'ES618', 'PT184']
    
    ","The NUTS regions that share a border with region ES615 are PT150, ES431, ES612, ES618, and PT184.",116,30,"['ES618', 'ES431', 'PT150', 'ES612', 'PT184']",[]
"You are a helpful assistant that specializes in the European NUTS regions.
Your answer should be consise.","intro,details,consise",FRK21,"FRK21, Ain",Give me all nuts regions that share a border with the region FRK21 and have the same NUTS level,"The NUTS regions that share a border with FRK21 at the same NUTS level are FRK22, FRK23, and FRK24.",56,34,"['FRK24', 'FRK26', 'FRK27', 'FRK28', 'FRC13', 'FRC22']","['FRK24', 'FRK22', 'FRK23']",[],"The user asked the following question:

Give me all NUTS regions that share a border with the region FRK21.
    
This is the answer retrieved from a Graph-database:
['FRK24', 'FRK26', 'FRK27', 'FRK28', 'FRC13', 'FRC22']
    
    ","The NUTS regions that share a border with the region FRK21 are: FRK24, FRK26, FRK27, FRK28, FRC13, FRC22.",127,41,"['FRC22', 'FRC13', 'FRK24', 'FRK28', 'FRK26', 'FRK27']",[]
"You are a helpful assistant that specializes in the European NUTS regions.
Your task is to identify neighbors of the region the user is asking about.
Your answer should be consise.","intro,details,task_specific,consise",CZ,"CZ, ČESKÁ REPUBLIKA",Give me all nuts regions that share a border with the region CZ and have the same NUTS level,"The NUTS regions that share a border with CZ at the same NUTS level are:
- DE - Germany
- AT - Austria
- SK - Slovakia
- PL - Poland",69,39,"['DE', 'PL', 'AT', 'SK']","['SK', 'PL', 'AT', 'DE']",[],"The user asked the following question:

Give me all NUTS regions that share a border with the region CZ.
    
This is the answer retrieved from a Graph-database:
['DE', 'PL', 'AT', 'SK']
    
    ","The NUTS regions that share a border with the region CZ are: DE, PL, AT, SK.",107,23,"['SK', 'PL', 'AT', 'DE']",[]
"You are a helpful assistant that specializes in the European NUTS regions.
Your task is to identify neighbors of the region the user is asking about.
Your answer should be consise.","intro,details,task_specific,consise",BG,"BG, Bulgaria",Give me all nuts regions that share a border with the region BG and have the same NUTS level,"The NUTS regions that share a border with BG at the same NUTS level are:
- NUTS 2: EL, RO, RS, TR
- NUTS 3: EL41, EL42, EL43, EL51, EL52, EL53, EL54, EL61, EL62, EL63, EL64, EL65, EL66, EL67, EL71, EL72, EL73, EL81, EL82, EL83, EL84, EL91, EL92, EL93, EL94, EL95, EL96, ELA1, ELA2, ELA3, ELA4, ELA5, ELA6, ELA7, ELA8, ELA9, ELB1, ELB2, ELB3, ELB4, ELB5, ELB6, ELB7, ELB8, ELB9, ELC1, ELC2, ELC3, ELC4, ELC5, ELC6, ELC7, ELC8, ELC9",69,230,"['RO', 'EL']","['EL42', 'EL65', 'EL62', 'EL', 'EL43', 'EL51', 'RS', 'EL41', 'RO', 'EL53', 'EL63', 'EL64', 'EL61', 'TR', 'EL52', 'EL54']","['ELA9', 'ELA3', 'EL93', 'ELC2', 'EL96', 'EL67', 'ELB1', 'ELA4', 'EL83', 'ELC8', 'ELA5', 'ELC4', 'EL73', 'ELC6', 'ELB2', 'EL71', 'ELB5', 'ELC9', 'ELA8', 'ELA1', 'ELC1', 'ELB7', 'EL84', 'EL95', 'EL92', 'EL94', 'ELC5', 'EL82', 'EL91', 'ELA7', 'EL81', 'ELA6', 'ELC3', 'ELB3', 'EL72', 'ELA2', 'EL66', 'ELB9', 'ELB6', 'ELB4', 'ELB8', 'ELC7']","The user asked the following question:

Give me all NUTS regions that share a border with the region BG.
    
This is the answer retrieved from a Graph-database:
['RO', 'EL']
    
    ",The NUTS regions that share a border with the region BG are 'RO' and 'EL'.,101,21,"['RO', 'EL']",[]
"You are a helpful assistant that specializes in the European NUTS regions.
Your task is to identify neighbors of the region the user is asking about.
Your answer should be consise.","intro,details,task_specific,consise",FR1,"FR1, ÎLE DE FRANCE",Give me all nuts regions that share a border with the region FR1 and have the same NUTS level,"The NUTS regions that share a border with FR1 at the same NUTS level are FR2, FR3, FR4, FR5, FR6, FR7, FR8, FR9.",70,44,"['FRB', 'FRC', 'FRD', 'FRE', 'FRF']","['FR4', 'FR6', 'FR8', 'FR9', 'FR2', 'FR3', 'FR5', 'FR7']",[],"The user asked the following question:

Give me all NUTS regions that share a border with the region FR1.
    
This is the answer retrieved from a Graph-database:
['FRB', 'FRC', 'FRD', 'FRE', 'FRF']
    
    ","The NUTS regions that share a border with the region FR1 are FRB, FRC, FRD, FRE, and FRF.",116,30,"['FRD', 'FRE', 'FRF', 'FRB', 'FRC']",[]
"You are a helpful assistant that specializes in the European NUTS regions.
Your task is to identify neighbors of the region the user is asking about.
Your answer should be consise.","intro,details,task_specific,consise",DEG,"DEG, THÜRINGEN",Give me all nuts regions that share a border with the region DEG and have the same NUTS level,"The NUTS regions that share a border with DEG at the same NUTS level are DEE, DE2, DE3, and DE7.",70,33,"['DE2', 'DE7', 'DE9', 'DED', 'DEE']","['DEE', 'DE3', 'DE7', 'DE2']",[],"The user asked the following question:

Give me all NUTS regions that share a border with the region DEG.
    
This is the answer retrieved from a Graph-database:
['DE2', 'DE7', 'DE9', 'DED', 'DEE']
    
    ","The NUTS regions that share a border with the region DEG are DE2, DE7, DE9, DED, and DEE.",115,31,"['DE9', 'DED', 'DE7', 'DE2', 'DEE']",[]
"You are a helpful assistant that specializes in the European NUTS regions.
Your task is to identify neighbors of the region the user is asking about.
Your answer should be consise.","intro,details,task_specific,consise",PL7,"PL7, Makroregion centralny",Give me all nuts regions that share a border with the region PL7 and have the same NUTS level,"The NUTS regions that share a border with PL7 at the same NUTS level are PL4, PL6, and PL8.",70,30,"['PL2', 'PL4', 'PL5', 'PL6', 'PL8', 'PL9']","['PL4', 'PL8', 'PL6']",[],"The user asked the following question:

Give me all NUTS regions that share a border with the region PL7.
    
This is the answer retrieved from a Graph-database:
['PL2', 'PL4', 'PL5', 'PL6', 'PL8', 'PL9']
    
    ",I don't know the answer to your question.,120,10,[],[]
"You are a helpful assistant that specializes in the European NUTS regions.
Your task is to identify neighbors of the region the user is asking about.
Your answer should be consise.","intro,details,task_specific,consise",ITI,"ITI, Centro (IT)",Give me all nuts regions that share a border with the region ITI and have the same NUTS level,"The NUTS regions that share a border with ITI at the same NUTS level are ITF, ITG, and ITB.",70,30,"['ITC', 'ITF', 'ITH']","['ITG', 'ITF']",['ITB'],"The user asked the following question:

Give me all NUTS regions that share a border with the region ITI.
    
This is the answer retrieved from a Graph-database:
['ITC', 'ITF', 'ITH']
    
    ","The NUTS regions that share a border with the region ITI are: ITC, ITF, ITH.",107,25,"['ITC', 'ITF', 'ITH']",[]
"You are a helpful assistant that specializes in the European NUTS regions.
Your task is to identify neighbors of the region the user is asking about.
Your answer should be consise.","intro,details,task_specific,consise",PT18,"PT18, Alentejo",Give me all nuts regions that share a border with the region PT18 and have the same NUTS level,The NUTS regions that share a border with PT18 at the same NUTS level are PT16 and PT17.,70,26,"['PT15', 'PT16', 'PT17', 'ES43', 'ES61']","['PT16', 'PT17']",[],"The user asked the following question:

Give me all NUTS regions that share a border with the region PT18.
    
This is the answer retrieved from a Graph-database:
['PT15', 'PT16', 'PT17', 'ES43', 'ES61']
    
    ","The NUTS regions that share a border with region PT18 are PT15, PT16, PT17, ES43, and ES61.",116,30,"['ES43', 'ES61', 'PT16', 'PT15', 'PT17']",[]
"You are a helpful assistant that specializes in the European NUTS regions.
Your task is to identify neighbors of the region the user is asking about.
Your answer should be consise.","intro,details,task_specific,consise",FRK2,"FRK2, Rhône-Alpes",Give me all nuts regions that share a border with the region FRK2 and have the same NUTS level,"The NUTS regions that share a border with FRK2 at the same NUTS level are FRK1, FRK3, and FRK4.",71,34,"['ITC1', 'ITC2', 'FRL0', 'FRK1', 'FRC1', 'FRC2', 'FRJ1']",['FRK1'],"['FRK4', 'FRK3']","The user asked the following question:

Give me all NUTS regions that share a border with the region FRK2.
    
This is the answer retrieved from a Graph-database:
['ITC1', 'ITC2', 'FRL0', 'FRK1', 'FRC1', 'FRC2', 'FRJ1']
    
    ","The NUTS regions that share a border with the region FRK2 are: ITC1, ITC2, FRL0, FRK1, FRC1, FRC2, FRJ1.",132,45,"['FRC2', 'ITC1', 'FRJ1', 'FRK1', 'FRC1', 'FRL0', 'ITC2']",[]
"You are a helpful assistant that specializes in the European NUTS regions.
Your task is to identify neighbors of the region the user is asking about.
Your answer should be consise.","intro,details,task_specific,consise",CZ03,"CZ03, Jihozápad",Give me all nuts regions that share a border with the region CZ03 and have the same NUTS level,"The NUTS regions that share a border with CZ03 at the same NUTS level are PL71, DE71, and AT31.",70,30,"['AT12', 'CZ02', 'CZ04', 'CZ06', 'AT31', 'DE22', 'DE23']","['DE71', 'PL71', 'AT31']",[],"The user asked the following question:

Give me all NUTS regions that share a border with the region CZ03.
    
This is the answer retrieved from a Graph-database:
['AT12', 'CZ02', 'CZ04', 'CZ06', 'AT31', 'DE22', 'DE23']
    
    ","The NUTS regions that share a border with the region CZ03 are: AT12, CZ02, CZ04, CZ06, AT31, DE22, DE23.",127,37,"['DE22', 'AT31', 'AT12', 'CZ02', 'DE23', 'CZ04', 'CZ06']",[]
